time,latent,alpha,beta,lambda
1950-11-15 12:00:00,2.0293047,0.9998434,1.0029768,0.99687594
1950-12-16 00:00:00,1.4412752,1.0000043,1.0024885,0.99752194
1951-01-16 00:00:00,1.4567723,1.0000248,1.0031538,0.9968808
1951-02-14 12:00:00,0.0890095,1.0007824,1.0005331,1.0002491
1951-03-16 00:00:00,1.6357646,0.9995985,0.99766874,1.0019343
1951-04-15 12:00:00,2.3048155,1.0010645,0.9984948,1.0025736
1951-05-16 00:00:00,0.537917,1.0003173,0.9983424,1.0019783
1951-06-15 12:00:00,1.9642106,0.99862266,0.9983819,1.0002412
1951-07-16 00:00:00,2.498036,0.9979329,0.99799114,0.99994165
1951-08-16 00:00:00,1.6723313,0.99866885,0.99890715,0.99976146
1951-09-15 12:00:00,0.41369104,0.9977466,0.9977101,1.0000366
1951-10-16 00:00:00,0.8937826,0.9996779,0.99730146,1.0023829
1951-11-15 12:00:00,1.9274443,0.99991244,1.0007988,0.99911433
1951-12-16 00:00:00,0.33677498,1.000523,1.0041593,0.9963787
1952-01-16 00:00:00,0.52622616,1.0001144,1.0037206,0.99640715
1952-02-15 00:00:00,0.47856787,0.99977744,1.0004909,0.9992869
1952-03-16 00:00:00,0.45886552,1.0006182,1.0038879,0.99674296
1952-04-15 12:00:00,0.58975846,1.000264,0.99882925,1.0014365
1952-05-16 00:00:00,2.4755616,0.99910283,0.9982493,1.0008551
1952-06-15 12:00:00,0.184702,1.0002396,0.997312,1.0029355
1952-07-16 00:00:00,0.8852315,1.0000863,0.9984275,1.0016614
1952-08-16 00:00:00,0.2613492,0.9974475,0.99760574,0.9998414
1952-09-15 12:00:00,1.5507337,0.99938333,0.9983047,1.0010804
1952-10-16 00:00:00,0.023891067,0.997261,0.99755126,0.999709
1952-11-15 12:00:00,0.00851368,1.0006343,0.9989775,1.0016586
1952-12-16 00:00:00,1.9891771,1.0002995,1.0035577,0.99675333
1953-01-16 00:00:00,0.82747924,0.9996254,1.001769,0.99786025
1953-02-14 12:00:00,1.3752201,0.9994017,0.99870497,1.0006976
1953-03-16 00:00:00,1.1097541,1.0001755,0.9995095,1.0006663
1953-04-15 12:00:00,1.2364699,1.000247,0.9993484,1.0008992
1953-05-16 00:00:00,0.11863018,1.000251,0.999137,1.0011151
1953-06-15 12:00:00,0.14207289,1.0002264,0.9982861,1.0019436
1953-07-16 00:00:00,0.029861515,0.99764985,0.99793214,0.9997171
1953-08-16 00:00:00,1.0221361,0.9987383,0.998703,1.0000353
1953-09-15 12:00:00,0.25840685,0.9977541,0.9980729,0.9996806
1953-10-16 00:00:00,0.4534729,1.0002052,0.9979234,1.0022866
1953-11-15 12:00:00,2.430787,1.0001338,0.9989157,1.0012194
1953-12-16 00:00:00,1.1508003,0.99967295,0.9982262,1.0014493
1954-01-16 00:00:00,1.2331461,1.001247,1.003603,0.99765253
1954-02-14 12:00:00,3.2370248,1.000701,1.0000603,1.0006406
1954-03-16 00:00:00,0.04127252,1.0007954,1.0036675,0.9971384
1954-04-15 12:00:00,0.9437081,1.000569,0.9976833,1.0028924
1954-05-16 00:00:00,1.4214106,0.99899834,0.9990525,0.99994576
1954-06-15 12:00:00,0.22716342,0.9997026,0.9987536,1.0009501
1954-07-16 00:00:00,1.1655637,0.997911,0.9980223,0.9998884
1954-08-16 00:00:00,0.13530044,0.99753964,0.9977372,0.99980193
1954-09-15 12:00:00,0.41386217,0.9972003,0.9973319,0.99986804
1954-10-16 00:00:00,1.2532135,0.99737024,0.99727815,1.0000924
1954-11-15 12:00:00,1.822121,1.0010592,0.9998032,1.0012562
1954-12-16 00:00:00,0.16378124,1.0007054,1.0025455,0.99816453
1955-01-16 00:00:00,0.55300695,1.0010858,1.0020651,0.9990227
1955-02-14 12:00:00,0.6699133,1.0005736,0.9983541,1.0022233
1955-03-16 00:00:00,0.57871574,0.999068,0.998379,1.0006901
1955-04-15 12:00:00,2.105259,1.0003253,1.0005803,0.99974513
1955-05-16 00:00:00,0.010107427,1.0000918,0.99720204,1.0028979
1955-06-15 12:00:00,1.682501,0.99840415,0.9983368,1.0000675
1955-07-16 00:00:00,1.0344187,0.99826854,0.99817497,1.0000937
1955-08-16 00:00:00,0.16923483,0.99716395,0.9972699,0.9998937
1955-09-15 12:00:00,2.357165,0.9994706,0.998567,1.0009049
1955-10-16 00:00:00,0.38200074,0.9982258,0.9980681,1.0001581
1955-11-15 12:00:00,1.0239712,1.000341,0.9993642,1.0009775
1955-12-16 00:00:00,0.34651515,0.99923646,1.0029576,0.99628985
1956-01-16 00:00:00,0.4720236,1.0000249,1.0031977,0.9968374
1956-02-15 00:00:00,0.3393985,1.0002933,0.99989533,1.0003979
1956-03-16 00:00:00,0.68268484,0.9993195,0.9989125,1.0004075
1956-04-15 12:00:00,3.4712439,0.99998105,0.99937856,1.0006028
1956-05-16 00:00:00,0.9103702,1.0003668,0.9981104,1.0022607
1956-06-15 12:00:00,3.4541705,0.9974444,0.9975246,0.9999196
1956-07-16 00:00:00,1.5212612,0.99865663,0.9984589,1.000198
1956-08-16 00:00:00,0.46440032,0.99751806,0.99788034,0.99963695
1956-09-15 12:00:00,1.0354216,0.9984258,0.99851006,0.9999156
1956-10-16 00:00:00,2.0025928,0.9993796,0.9981617,1.0012201
1956-11-15 12:00:00,0.16119374,0.99759096,0.9976595,0.9999313
1956-12-16 00:00:00,0.780444,0.9999533,0.9988409,1.0011137
1957-01-16 00:00:00,2.302303,1.0008394,1.0019096,0.99893177
1957-02-14 12:00:00,1.2995822,1.0002384,1.0008056,0.9994333
1957-03-16 00:00:00,0.37083295,1.0000472,1.0007392,0.9993085
1957-04-15 12:00:00,0.47109511,1.000397,0.9983382,1.0020622
1957-05-16 00:00:00,0.59512556,0.9994099,1.0007011,0.99870974
1957-06-15 12:00:00,0.35461402,0.99797654,0.9979374,1.0000392
1957-07-16 00:00:00,1.1322385,0.99782413,0.99796873,0.9998551
1957-08-16 00:00:00,1.6179572,0.9974742,0.9975235,0.9999506
1957-09-15 12:00:00,0.42859286,1.0005761,0.997918,1.0026637
1957-10-16 00:00:00,0.5866191,1.000432,1.0004736,0.9999584
1957-11-15 12:00:00,0.6317988,0.9996299,0.9965506,1.0030899
1957-12-16 00:00:00,1.038918,1.0003642,1.0011115,0.9992535
1958-01-16 00:00:00,1.4638125,1.0005274,1.0009941,0.9995338
1958-02-14 12:00:00,0.53510135,1.0006913,1.0039531,0.996751
1958-03-16 00:00:00,0.44940788,1.0011132,1.0045837,0.9965453
1958-04-15 12:00:00,1.3560203,1.0004917,1.0032308,0.99726975
1958-05-16 00:00:00,0.030718826,1.0003242,0.9978635,1.0024661
1958-06-15 12:00:00,0.541662,1.0002384,0.99900687,1.0012327
1958-07-16 00:00:00,3.8007264,0.9992667,0.998964,1.000303
1958-08-16 00:00:00,1.172525,0.99900866,0.9986219,1.0003873
1958-09-15 12:00:00,2.6773593,0.9991706,0.99904567,1.000125
1958-10-16 00:00:00,0.22784866,0.9971833,0.99714094,1.0000426
1958-11-15 12:00:00,0.014222582,0.9998332,0.9981062,1.0017303
1958-12-16 00:00:00,0.124985404,0.9997,0.99801517,1.0016882
1959-01-16 00:00:00,0.86693335,1.001287,1.0038084,0.99748814
1959-02-14 12:00:00,1.6422943,1.0011188,1.0044599,0.99667376
1959-03-16 00:00:00,0.2486501,0.99952257,0.9977662,1.0017602
1959-04-15 12:00:00,0.51553285,0.9994268,0.99824286,1.001186
1959-05-16 00:00:00,3.0751822,1.0008733,0.9985101,1.0023668
1959-06-15 12:00:00,0.25360325,0.99793106,0.9981536,0.999777
1959-07-16 00:00:00,0.07065333,0.99818635,0.9982229,0.9999634
1959-08-16 00:00:00,1.0618168,0.99916697,0.9988419,1.0003254
1959-09-15 12:00:00,0.60270256,1.0004677,0.9983835,1.0020875
1959-10-16 00:00:00,0.0060856002,0.9973192,0.99723464,1.0000848
1959-11-15 12:00:00,0.48035875,0.9969882,0.9969683,1.0000199
1959-12-16 00:00:00,0.22141676,1.0003854,0.99874,1.0016475
1960-01-16 00:00:00,0.21220545,1.0010661,1.0037491,0.99732697
1960-02-15 00:00:00,0.17805624,1.0007523,1.0036833,0.99707973
1960-03-16 00:00:00,0.77697474,0.999185,0.99855465,1.0006313
1960-04-15 12:00:00,0.17788836,1.0006427,0.9983408,1.0023057
1960-05-16 00:00:00,0.6566309,0.9997711,0.9986673,1.0011053
1960-06-15 12:00:00,0.6577185,0.9976131,0.99776065,0.99985206
1960-07-16 00:00:00,2.7696748,0.9996396,0.99863887,1.0010021
1960-08-16 00:00:00,2.235993,0.9972439,0.99739534,0.9998481
1960-09-15 12:00:00,0.4800907,0.99800485,0.9982242,0.99978024
1960-10-16 00:00:00,1.0966972,1.000001,0.9985607,1.0014423
1960-11-15 12:00:00,0.42800805,1.0004048,1.0030932,0.9973199
1960-12-16 00:00:00,1.5303246,1.0008093,0.9985772,1.0022353
1961-01-16 00:00:00,1.0523971,0.99938875,0.99782604,1.0015662
1961-02-14 12:00:00,4.612607,1.0000123,0.99846244,1.0015522
1961-03-16 00:00:00,0.3570803,1.0006083,1.0014958,0.9991138
1961-04-15 12:00:00,0.53537756,0.999928,0.99750227,1.0024318
1961-05-16 00:00:00,2.530954,1.0004631,0.9976277,1.0028422
1961-06-15 12:00:00,0.41697896,0.99921507,0.99827737,1.0009394
1961-07-16 00:00:00,2.213,0.9992519,0.9990752,1.0001769
1961-08-16 00:00:00,0.086278394,1.0012497,0.99733484,1.0039253
1961-09-15 12:00:00,0.79043525,0.9996413,0.9981413,1.0015028
1961-10-16 00:00:00,0.2829536,0.99948514,0.99882513,1.0006608
1961-11-15 12:00:00,0.41771856,1.0002413,1.00113,0.9991123
1961-12-16 00:00:00,2.4554863,0.9999402,0.9997565,1.0001837
1962-01-16 00:00:00,0.32273844,1.0001042,0.9984825,1.0016241
1962-02-14 12:00:00,1.0803412,1.0000951,1.0038912,0.9962186
1962-03-16 00:00:00,0.56830055,1.0008192,1.0016385,0.999182
1962-04-15 12:00:00,1.4399972,0.99878836,0.9985552,1.0002335
1962-05-16 00:00:00,1.2853664,1.0011278,0.99752766,1.0036091
1962-06-15 12:00:00,0.1256287,0.9997436,0.99896395,1.0007805
1962-07-16 00:00:00,1.8468807,0.9994491,0.99878466,1.0006652
1962-08-16 00:00:00,0.34736732,0.99791026,0.9979252,0.999985
1962-09-15 12:00:00,0.78288585,0.9979509,0.99814165,0.9998089
1962-10-16 00:00:00,0.08771016,0.99897325,1.0011398,0.99783593
1962-11-15 12:00:00,0.009387006,0.9990978,0.99772084,1.0013801
1962-12-16 00:00:00,0.18064415,0.9991593,0.99829227,1.0008684
1963-01-16 00:00:00,3.0289001,0.99995935,1.0028412,0.9971263
1963-02-14 12:00:00,0.07408584,1.0010194,1.0008013,1.0002179
1963-03-16 00:00:00,1.4396465,1.0005043,1.0026691,0.99784094
1963-04-15 12:00:00,0.7026617,1.0003486,1.0030489,0.9973079
1963-05-16 00:00:00,0.6200044,1.0003314,0.9973506,1.0029887
1963-06-15 12:00:00,2.2550619,1.0005534,0.9979661,1.0025926
1963-07-16 00:00:00,2.042236,0.99716103,0.9972506,0.9999102
1963-08-16 00:00:00,0.63774604,0.9980602,0.9980391,1.0000211
1963-09-15 12:00:00,0.70875895,0.99880576,0.9981211,1.0006859
1963-10-16 00:00:00,0.34316632,1.0001304,0.99729943,1.0028386
1963-11-15 12:00:00,0.92197454,1.0003302,1.0027844,0.99755263
1963-12-16 00:00:00,2.447085,0.99862444,0.9983831,1.0002418
1964-01-16 00:00:00,0.98520833,1.0002561,1.0013946,0.99886304
1964-02-15 00:00:00,3.9188576,0.9983978,0.99804324,1.0003552
1964-03-16 00:00:00,0.13498434,1.000526,1.0002189,1.000307
1964-04-15 12:00:00,1.1438954,0.9999732,0.9974619,1.0025177
1964-05-16 00:00:00,0.2680204,1.0000561,0.99733937,1.002724
1964-06-15 12:00:00,3.8932202,0.9997029,0.998234,1.0014715
1964-07-16 00:00:00,0.18416986,0.9977128,0.9978174,0.99989516
1964-08-16 00:00:00,1.7275496,0.9983396,0.9981448,1.0001951
1964-09-15 12:00:00,3.8273532,0.99765617,0.99770665,0.9999494
1964-10-16 00:00:00,1.2917911,1.000095,0.9978013,1.0022987
1964-11-15 12:00:00,0.71619964,1.0005281,1.0020894,0.998442
1964-12-16 00:00:00,0.09588304,0.9988519,1.0019554,0.9969026
1965-01-16 00:00:00,0.38374463,1.000047,1.0025551,0.9974982
1965-02-14 12:00:00,3.104316,0.9995143,0.99830544,1.0012109
1965-03-16 00:00:00,0.24612048,1.0004419,0.99880505,1.0016388
1965-04-15 12:00:00,0.16667509,1.000281,1.0023314,0.99795437
1965-05-16 00:00:00,1.7271824,0.999452,0.997949,1.0015061
1965-06-15 12:00:00,0.538286,1.0005759,0.99754274,1.0030407
1965-07-16 00:00:00,0.068771616,0.99970335,0.9989897,1.0007144
1965-08-16 00:00:00,0.9797198,1.0004475,0.99859303,1.001857
1965-09-15 12:00:00,1.0884601,0.9985724,0.998389,1.0001837
1965-10-16 00:00:00,2.361832,0.9974817,0.9975922,0.99988925
1965-11-15 12:00:00,1.5579416,1.0008414,1.0046542,0.99620485
1965-12-16 00:00:00,1.7246734,1.0003,1.0024636,0.9978418
1966-01-16 00:00:00,0.91903794,1.0001465,0.99894094,1.0012069
1966-02-14 12:00:00,1.0380951,1.0008209,0.99981636,1.0010047
1966-03-16 00:00:00,0.58339024,0.9994521,0.9974728,1.0019844
1966-04-15 12:00:00,0.7101257,0.999283,0.99864465,1.0006392
1966-05-16 00:00:00,0.80624837,0.9999315,0.9991663,1.0007658
1966-06-15 12:00:00,1.8036834,0.99803144,0.99827623,0.9997548
1966-07-16 00:00:00,0.08456775,0.9979039,0.9979365,0.99996734
1966-08-16 00:00:00,0.1385477,0.99788976,0.9979796,0.99991
1966-09-15 12:00:00,0.5949277,0.9987741,0.9990177,0.99975616
1966-10-16 00:00:00,2.617508,0.9971,0.9971941,0.99990565
1966-11-15 12:00:00,1.28012,1.0003455,1.0025241,0.9978268
1966-12-16 00:00:00,0.14681837,1.0009315,1.003583,0.997358
1967-01-16 00:00:00,0.37105894,0.9996608,1.0030903,0.9965811
1967-02-14 12:00:00,0.9580304,0.99892265,0.99857116,1.000352
1967-03-16 00:00:00,0.07152485,1.0005758,1.0038571,0.9967313
1967-04-15 12:00:00,2.2950542,1.0010715,1.0044352,0.9966511
1967-05-16 00:00:00,0.15375833,0.99984586,0.9979963,1.0018533
1967-06-15 12:00:00,0.0055724056,1.0000151,0.99793476,1.0020847
1967-07-16 00:00:00,1.043265,0.9982733,0.9974718,1.0008036
1967-08-16 00:00:00,0.6820591,0.998738,0.99890774,0.99983007
1967-09-15 12:00:00,1.0995836,0.9983093,0.99810255,1.0002072
1967-10-16 00:00:00,1.2856243,0.9986894,0.9978848,1.0008063
1967-11-15 12:00:00,0.7985571,1.0006225,0.99972636,1.0008965
1967-12-16 00:00:00,0.389481,1.0008678,1.0007955,1.0000724
1968-01-16 00:00:00,0.91617656,1.0005243,1.0026543,0.99787563
1968-02-15 00:00:00,0.36591563,1.0004009,0.9991729,1.001229
1968-03-16 00:00:00,0.32209107,1.0000886,1.0002909,0.99979776
1968-04-15 12:00:00,0.93001056,1.0001073,0.9987188,1.0013902
1968-05-16 00:00:00,1.3774401,1.0004538,0.998782,1.0016739
1968-06-15 12:00:00,0.4458663,0.99892753,0.99837023,1.0005583
1968-07-16 00:00:00,0.7606999,0.99770975,0.9979938,0.9997153
1968-08-16 00:00:00,0.7518582,0.9984943,0.99780285,1.000693
1968-09-15 12:00:00,2.0798745,0.9973898,0.99741167,0.99997807
1968-10-16 00:00:00,0.009156351,0.9994734,0.9981543,1.0013216
1968-11-15 12:00:00,0.28387934,1.0007024,0.999964,1.0007384
1968-12-16 00:00:00,3.5620508,1.0013454,1.0042857,0.9970723
1969-01-16 00:00:00,1.6425748,0.9997151,1.0031148,0.9966108
1969-02-14 12:00:00,0.011694673,1.0006212,1.0041596,0.9964763
1969-03-16 00:00:00,0.8407734,1.0006828,0.99823034,1.0024568
1969-04-15 12:00:00,0.09663031,1.0008564,0.99958783,1.0012691
1969-05-16 00:00:00,0.43862006,0.99852896,0.9984721,1.000057
