time,latent_dim,latent,mu,logvar
2016-11-15 12:00:00,3,0.5976405,-0.0022221506,-0.0038980246
2016-11-15 12:00:00,4,0.41373277,0.0005337894,0.0029396862
2016-11-15 12:00:00,5,-1.0304711,-6.970763e-05,-0.00047418475
2016-11-15 12:00:00,6,0.76213443,-0.0029418766,0.002175063
2016-11-15 12:00:00,7,-1.8379693,-0.00022992492,0.0039927885
2016-12-16 00:00:00,0,-0.27769268,0.0062446594,-0.00283131
2016-12-16 00:00:00,1,-1.7125777,0.010559589,0.0053837
2016-12-16 00:00:00,2,2.0700996,-0.005752325,-0.0030649304
2016-12-16 00:00:00,3,-0.7816371,0.0046436936,-0.015460208
2016-12-16 00:00:00,4,-0.36916482,-0.0067712516,0.0045928806
2016-12-16 00:00:00,5,0.22095512,0.00022296607,-0.0030291155
2016-12-16 00:00:00,6,-0.44322786,-0.009672552,0.0023107678
2016-12-16 00:00:00,7,-1.4972866,-0.0070573688,0.0021595135
2017-01-16 00:00:00,0,-0.1396033,0.012667984,-0.0008328557
2017-01-16 00:00:00,1,0.649277,0.023236498,0.0076924115
2017-01-16 00:00:00,2,-0.27264243,-0.0029661655,-0.005249083
2017-01-16 00:00:00,3,-0.6247616,0.011677809,-0.022981837
2017-01-16 00:00:00,4,-1.3952417,-0.010911047,0.0019655973
2017-01-16 00:00:00,5,-0.4485377,0.004593909,-0.0054230243
2017-01-16 00:00:00,6,0.86878896,-0.015268236,-0.002178356
2017-01-16 00:00:00,7,-0.05247204,-0.0142875165,-0.0007738173
2017-02-14 12:00:00,0,1.7939659,0.009312123,-0.0051413774
2017-02-14 12:00:00,1,1.3035254,0.02121441,0.008880615
2017-02-14 12:00:00,2,0.22286358,-0.0051499903,-0.0054409653
2017-02-14 12:00:00,3,0.21101603,0.009947389,-0.02322191
2017-02-14 12:00:00,4,0.37886423,-0.015421286,0.007536605
2017-02-14 12:00:00,5,0.82192874,0.0033228844,-0.0040954277
2017-02-14 12:00:00,6,-0.78025126,-0.014782727,0.0033287108
2017-02-14 12:00:00,7,0.30956206,-0.012499034,-0.0006650761
2017-03-16 00:00:00,0,-0.41410527,0.004321635,-0.00084492564
2017-03-16 00:00:00,1,-0.261885,0.0049693733,0.0037223473
2017-03-16 00:00:00,2,0.022519678,-0.003572911,-0.0016872883
2017-03-16 00:00:00,3,-0.06159794,0.0009862371,-0.008171961
2017-03-16 00:00:00,4,1.1247926,-0.0024030954,0.0026500374
2017-03-16 00:00:00,5,0.74554837,0.000166893,-0.0012174472
2017-03-16 00:00:00,6,-1.7605131,-0.0052114725,0.00055478513
2017-03-16 00:00:00,7,1.9401386,-0.0025827736,0.0035844892
2017-04-15 12:00:00,0,0.28021598,0.0073267072,0.00053708255
2017-04-15 12:00:00,1,-1.1408075,0.0054205954,0.004624784
