time,cfs
1997-09-30,1990.0
1997-10-31,3600.0
1997-11-30,2600.0
1997-12-31,2410.0
1998-01-31,14800.0
1998-02-28,33700.0
1998-03-31,11800.0
1998-04-30,9770.0
1998-05-31,11000.0
1998-06-30,9980.0
1998-07-31,7470.0
1998-08-31,4030.0
1998-09-30,4690.0
1998-10-31,4140.0
1998-11-30,3150.0
1998-12-31,3270.0
1999-01-31,19600.0
1999-02-28,23900.0
1999-03-31,10400.0
1999-04-30,4740.0
1999-05-31,4590.0
1999-06-30,4830.0
1999-07-31,4700.0
1999-08-31,3640.0
1999-09-30,2420.0
1999-10-31,2460.0
1999-11-30,2410.0
1999-12-31,2390.0
2000-01-31,10100.0
2000-02-29,24100.0
2000-03-31,13400.0
2000-04-30,5920.0
2000-05-31,6040.0
2000-06-30,3420.0
2000-07-31,4150.0
2000-08-31,2520.0
2000-09-30,1540.0
2000-10-31,2190.0
2000-11-30,2430.0
2000-12-31,2410.0
2001-01-31,3030.0
2001-02-28,1570.0
2001-03-31,1540.0
2001-04-30,2200.0
2001-05-31,2410.0
2001-06-30,3110.0
2001-07-31,2160.0
2001-08-31,1740.0
2001-09-30,1560.0
2001-10-31,1560.0
2001-11-30,988.0
2001-12-31,1510.0
2002-01-31,1540.0
2002-02-28,1540.0
2002-03-31,3970.0
2002-04-30,4020.0
2002-05-31,3190.0
2002-06-30,3090.0
2002-07-31,3990.0
2002-08-31,2510.0
2002-09-30,1500.0
2002-10-31,1550.0
2002-11-30,1860.0
2002-12-31,1880.0
2003-01-31,3990.0
2003-02-28,5540.0
2003-03-31,2480.0
2003-04-30,4840.0
2003-05-31,6480.0
2003-06-30,7000.0
2003-07-31,4570.0
2003-08-31,4510.0
2003-09-30,2070.0
2003-10-31,2470.0
2003-11-30,2470.0
2003-12-31,2000.0
2004-01-31,3590.0
2004-02-29,7040.0
2004-03-31,3930.0
2004-04-30,7930.0
2004-05-31,2450.0
2004-06-30,3000.0
2004-07-31,3550.0
2004-08-31,2430.0
2004-09-30,1470.0
2004-10-31,1470.0
2004-11-30,1680.0
2004-12-31,1820.0
2005-01-31,1530.0
2005-02-28,8240.0
2005-03-31,15200.0
2005-04-30,7350.0
2005-05-31,23900.0
2005-06-30,12300.0
2005-07-31,3630.0
2005-08-31,3550.0
2005-09-30,3140.0
2005-10-31,2470.0
2005-11-30,2290.0
2005-12-31,36300.0
2006-01-31,36200.0
2006-02-28,15500.0
2006-03-31,11000.0
2006-04-30,34900.0
2006-05-31,13200.0
2006-06-30,7140.0
2006-07-31,4270.0
2006-08-31,3720.0
2006-09-30,3120.0
2006-10-31,2570.0
2006-11-30,2130.0
2006-12-31,2140.0
2007-01-31,2070.0
2007-02-28,1800.0
2007-03-31,2510.0
2007-04-30,2480.0
2007-05-31,1560.0
2007-06-30,4500.0
2007-07-31,4520.0
2007-08-31,3150.0
2007-09-30,2570.0
2007-10-31,1340.0
2007-11-30,1250.0
2007-12-31,1230.0
2008-01-31,1170.0
2008-02-29,1050.0
2008-03-31,1030.0
2008-04-30,1210.0
2008-05-31,2020.0
2008-06-30,4400.0
2008-07-31,3240.0
2008-08-31,2090.0
2008-09-30,1540.0
2008-10-31,1050.0
2008-11-30,1190.0
2008-12-31,1190.0
2009-01-31,872.0
2009-02-28,797.0
2009-03-31,1570.0
2009-04-30,4910.0
2009-05-31,4910.0
2009-06-30,4370.0
2009-07-31,5510.0
2009-08-31,5040.0
2009-09-30,2700.0
2009-10-31,2460.0
2009-11-30,1910.0
2009-12-31,1930.0
2010-01-31,1890.0
2010-02-28,1640.0
2010-03-31,1370.0
2010-04-30,2540.0
2010-05-31,5410.0
2010-06-30,8600.0
2010-07-31,4760.0
2010-08-31,4330.0
2010-09-30,1870.0
2010-10-31,2060.0
2010-11-30,7210.0
2010-12-31,30900.0
2011-01-31,12100.0
2011-02-28,2680.0
2011-03-31,26300.0
2011-04-30,10100.0
2011-05-31,7960.0
2011-06-30,13500.0
2011-07-31,8900.0
2011-08-31,3970.0
2011-09-30,4100.0
2011-10-31,3990.0
2011-11-30,2520.0
2011-12-31,2160.0
2012-01-31,1840.0
2012-02-29,1780.0
2012-03-31,1310.0
2012-04-30,7110.0
2012-05-31,7930.0
2012-06-30,3880.0
2012-07-31,4440.0
2012-08-31,4570.0
2012-09-30,1930.0
2012-10-31,1730.0
2012-11-30,2270.0
2012-12-31,9930.0
2013-01-31,4850.0
2013-02-28,2300.0
2013-03-31,2220.0
2013-04-30,1270.0
2013-05-31,990.0
2013-06-30,3370.0
2013-07-31,3490.0
2013-08-31,2680.0
2013-09-30,2160.0
2013-10-31,1490.0
2013-11-30,1370.0
2013-12-31,1340.0
2014-01-31,1160.0
2014-02-28,995.0
2014-03-31,942.0
2014-04-30,1560.0
2014-05-31,2030.0
2014-06-30,2540.0
2014-07-31,2050.0
2014-08-31,1540.0
2014-09-30,1430.0
2014-10-31,1430.0
2014-11-30,1070.0
2014-12-31,921.0
2015-01-31,896.0
2015-02-28,946.0
2015-03-31,867.0
2015-04-30,1010.0
2015-05-31,2010.0
2015-06-30,2770.0
2015-07-31,3760.0
2015-08-31,2500.0
2015-09-30,1320.0
2015-10-31,602.0
2015-11-30,519.0
2015-12-31,533.0
2016-01-31,773.0
2016-02-29,7070.0
2016-03-31,20200.0
2016-04-30,3550.0
2016-05-31,4970.0
2016-06-30,4090.0
2016-07-31,5060.0
2016-08-31,4860.0
2016-09-30,1790.0
2016-10-31,1650.0
2016-11-30,1140.0
2016-12-31,33100.0
2017-01-31,60500.0
2017-02-28,82400.0
2017-03-31,18200.0
2017-04-30,15900.0
2017-05-31,15700.0
2017-06-30,12000.0
2017-07-31,4180.0
2017-08-31,3800.0
2017-09-30,3550.0
2017-10-31,3460.0
2017-11-30,2160.0
2017-12-31,3540.0
2018-01-31,3400.0
2018-02-28,2910.0
2018-03-31,9950.0
2018-04-30,24700.0
2018-05-31,3510.0
2018-06-30,4020.0
2018-07-31,5060.0
2018-08-31,4990.0
2018-09-30,1910.0
2018-10-31,1760.0
2018-11-30,1910.0
2018-12-31,1890.0
2019-01-31,1800.0
2019-02-28,24100.0
2019-03-31,19900.0
2019-04-30,10400.0
2019-05-31,10200.0
2019-06-30,15200.0
2019-07-31,4960.0
2019-08-31,3540.0
2019-09-30,3510.0
2019-10-31,2720.0
2019-11-30,2650.0
2019-12-31,2410.0
2020-01-31,2430.0
2020-02-29,2040.0
2020-03-31,2030.0
2020-04-30,1600.0
2020-05-31,1740.0
2020-06-30,3550.0
2020-07-31,4210.0
2020-08-31,3090.0
2020-09-30,2110.0
2020-10-31,1900.0
2020-11-30,1270.0
2020-12-31,1330.0
2021-01-31,1250.0
2021-02-28,1020.0
2021-03-31,3500.0
2021-04-30,2120.0
2021-05-31,1020.0
2021-06-30,1910.0
2021-07-31,1910.0
2021-08-31,1030.0
2021-09-30,586.0
2021-10-31,1980.0
2021-11-30,643.0
2021-12-31,5050.0
2022-01-31,5040.0
2022-02-28,2240.0
2022-03-31,2050.0
2022-04-30,1260.0
2022-05-31,1760.0
2022-06-30,5000.0
2022-07-31,4960.0
2022-08-31,3980.0
2022-09-30,3180.0
2022-10-31,1500.0
2022-11-30,1370.0
2022-12-31,9760.0
2023-01-31,32500.0
2023-02-28,4250.0
2023-03-31,31400.0
2023-04-30,8080.0
2023-05-31,16200.0
2023-06-30,13200.0
2023-07-31,4020.0
2023-08-31,3950.0
2023-09-30,3600.0
2023-10-31,2940.0
2023-11-30,2130.0
2023-12-31,2160.0
2024-01-31,2230.0
2024-02-29,6360.0
2024-03-31,6310.0
2024-04-30,5020.0
2024-05-31,5070.0
2024-06-30,4680.0
2024-07-31,5220.0
2024-08-31,4460.0
2024-09-30,2280.0
2024-10-31,1760.0
2024-11-30,2190.0
2024-12-31,2170.0
2025-01-31,1990.0
2025-02-28,7730.0
2025-03-31,6400.0
2025-04-30,7480.0
2025-05-31,4090.0
2025-06-30,2500.0
