time,latent_dim,latent,alpha,beta,lambda
1941-01-16 00:00:00,3,0.6958319,0.9986653,2.0044057,0.49823508
1941-01-16 00:00:00,4,0.5211014,1.0016005,2.005494,0.4994283
1941-01-16 00:00:00,5,0.70090055,1.0004847,2.0019,0.49976757
1941-01-16 00:00:00,6,0.40456128,1.0013539,1.9979118,0.50120026
1941-01-16 00:00:00,7,0.085371755,1.0009947,2.0066798,0.4988313
1941-01-16 00:00:00,8,0.027153742,1.0005964,2.0025928,0.49965045
1941-01-16 00:00:00,9,1.8972663,0.9994383,2.0022373,0.49916077
1941-02-14 12:00:00,0,0.71036243,0.9979009,1.9990658,0.49918362
1941-02-14 12:00:00,1,0.8625045,1.0000612,2.012305,0.49697295
1941-02-14 12:00:00,2,0.20159295,1.0021145,2.0092769,0.4987439
1941-02-14 12:00:00,3,1.229629,0.9981378,2.004865,0.49785787
1941-02-14 12:00:00,4,0.67403924,1.0017127,2.0048854,0.49963588
1941-02-14 12:00:00,5,2.968724,0.9996148,2.0005507,0.4996698
1941-02-14 12:00:00,6,0.34847078,1.0011135,1.9957591,0.5016204
1941-02-14 12:00:00,7,0.3058373,1.0012666,2.0069933,0.49888885
1941-02-14 12:00:00,8,0.12487544,1.0010048,2.0021884,0.49995536
1941-02-14 12:00:00,9,0.19471332,0.99943846,2.0001736,0.49967587
1941-03-16 00:00:00,0,0.6725775,0.9985944,2.0031962,0.49850053
1941-03-16 00:00:00,1,1.0783584,1.0001355,2.0100863,0.4975585
1941-03-16 00:00:00,2,0.5947175,1.001103,2.009328,0.4982278
1941-03-16 00:00:00,3,0.4279504,0.99927783,2.0040166,0.4986375
1941-03-16 00:00:00,4,0.42555925,1.0015047,2.0062056,0.4992034
1941-03-16 00:00:00,5,0.03483175,1.0016122,2.0033777,0.49996173
1941-03-16 00:00:00,6,0.13548206,1.001618,2.0002973,0.50073457
1941-03-16 00:00:00,7,0.105984636,1.0006955,2.0065405,0.4987168
1941-03-16 00:00:00,8,0.43562803,1.0002141,2.002919,0.4993782
1941-03-16 00:00:00,9,0.21244405,0.99935484,2.0044887,0.4985585
1941-04-15 12:00:00,0,0.20584254,0.99864215,2.0029058,0.49859664
1941-04-15 12:00:00,1,0.124163926,1.0001737,2.0101635,0.49755836
1941-04-15 12:00:00,2,0.94763756,1.0011703,2.0092645,0.498277
1941-04-15 12:00:00,3,0.2548706,0.99923426,2.0038624,0.49865413
1941-04-15 12:00:00,4,0.7235127,1.0014681,2.0061493,0.49919918
1941-04-15 12:00:00,5,1.2799997,1.0013843,2.0033846,0.49984625
1941-04-15 12:00:00,6,0.54091454,1.0016181,2.000272,0.50074095
1941-04-15 12:00:00,7,0.56153107,1.0006961,2.0062666,0.4987852
1941-04-15 12:00:00,8,0.69041157,1.0001255,2.0030766,0.4992947
1941-04-15 12:00:00,9,0.02872828,0.9994658,2.0045123,0.49860796
1941-05-16 00:00:00,0,0.042940166,0.9989748,2.0020208,0.4989832
1941-05-16 00:00:00,1,0.14412172,1.0003736,2.0102434,0.49763805
1941-05-16 00:00:00,2,0.5164576,1.0013665,2.0089526,0.49845204
1941-05-16 00:00:00,3,0.26855347,0.9991726,2.002974,0.49884453
1941-05-16 00:00:00,4,0.18448628,1.0012563,2.0060472,0.499119
1941-05-16 00:00:00,5,0.28651747,1.0005203,2.0038042,0.49931043
1941-05-16 00:00:00,6,0.26355755,1.0016863,2.000765,0.50065166
1941-05-16 00:00:00,7,1.0037438,1.0006205,2.0048347,0.49910375
1941-05-16 00:00:00,8,0.9944209,0.99957556,2.0039597,0.49880025
1941-05-16 00:00:00,9,0.16577923,1.0000063,2.0052183,0.498702
1941-06-15 12:00:00,0,0.38883296,1.0000272,2.0028863,0.49929303
1941-06-15 12:00:00,1,0.28371727,1.0007596,2.0087013,0.49821225
1941-06-15 12:00:00,2,0.1724944,1.0010312,2.0081303,0.49848914
1941-06-15 12:00:00,3,0.07338121,0.99976385,2.0004954,0.49975812
1941-06-15 12:00:00,4,0.12119691,1.000674,2.0065866,0.49869466
1941-06-15 12:00:00,5,0.02647248,1.000175,2.006314,0.49851367
1941-06-15 12:00:00,6,0.21963295,1.0021023,2.004496,0.49992725
1941-06-15 12:00:00,7,1.6987722,1.0000697,2.0015893,0.49963784
1941-06-15 12:00:00,8,0.021441929,0.9979282,2.0059001,0.49749646
1941-06-15 12:00:00,9,1.1825535,1.0008947,2.0091963,0.49815673
1941-07-16 00:00:00,0,0.93784106,0.9998417,2.0042088,0.49887103
1941-07-16 00:00:00,1,1.2943044,1.0004234,2.006756,0.49852768
1941-07-16 00:00:00,2,0.07291533,1.0002855,2.0071566,0.49835947
1941-07-16 00:00:00,3,0.057887487,1.0000398,1.9997488,0.50008273
1941-07-16 00:00:00,4,0.058953036,1.0005631,2.0064712,0.4986681
1941-07-16 00:00:00,5,0.15546718,1.0014303,2.0063326,0.49913472
1941-07-16 00:00:00,6,0.4249513,1.002029,2.0049443,0.49977893
1941-07-16 00:00:00,7,1.2727966,0.9997672,2.0014,0.49953392
1941-07-16 00:00:00,8,0.0819147,0.9976014,2.0045793,0.49766123
1941-07-16 00:00:00,9,0.022532932,1.0001396,2.0093532,0.49774206
1941-08-16 00:00:00,0,0.7168092,0.99928176,2.0023963,0.49904293
1941-08-16 00:00:00,1,1.1649721,1.0004802,2.00975,0.49781328
1941-08-16 00:00:00,2,0.6568534,1.0012416,2.0087304,0.49844497
1941-08-16 00:00:00,3,0.5108714,0.9993704,2.0022774,0.49911687
1941-08-16 00:00:00,4,0.30296707,1.0010923,2.0062373,0.49899
1941-08-16 00:00:00,5,0.1666409,1.0004976,2.0045748,0.49910715
1941-08-16 00:00:00,6,0.7806939,1.0018146,2.001921,0.50042665
1941-08-16 00:00:00,7,0.44509527,1.0004526,2.0039465,0.49924117
1941-08-16 00:00:00,8,0.23568481,0.9991073,2.0045013,0.49843183
1941-08-16 00:00:00,9,0.114537925,1.0002394,2.006432,0.49851644
1941-09-15 12:00:00,0,0.12331845,0.99706155,1.9939945,0.50003225
1941-09-15 12:00:00,1,0.17207226,0.99704015,1.9902314,0.50096697
1941-09-15 12:00:00,2,1.2835354,0.99581575,1.9899518,0.50042206
1941-09-15 12:00:00,3,0.3511538,0.99811053,1.983646,0.50316966
1941-09-15 12:00:00,4,0.22549006,0.99769986,1.9971445,0.4995632
1941-09-15 12:00:00,5,0.100675724,1.0006108,1.9977221,0.5008759
1941-09-15 12:00:00,6,0.8885428,0.99973977,1.9961147,0.5008428
1941-09-15 12:00:00,7,0.17829771,0.99742293,1.9856368,0.5023189
1941-09-15 12:00:00,8,0.40379822,0.99011403,1.992938,0.49681124
1941-09-15 12:00:00,9,1.6513425,0.99635655,1.9996532,0.49826467
1941-10-16 00:00:00,0,0.15079994,0.9992333,2.0041456,0.4985832
1941-10-16 00:00:00,1,0.096661076,1.0003529,2.0090442,0.49792477
1941-10-16 00:00:00,2,0.013067151,1.0008172,2.0089285,0.49818456
1941-10-16 00:00:00,3,0.17472595,0.99972415,2.0026376,0.4992037
1941-10-16 00:00:00,4,0.77780974,1.0011778,2.0066574,0.49892813
1941-10-16 00:00:00,5,0.20901221,1.0016613,2.0050411,0.49957144
1941-10-16 00:00:00,6,0.26996687,1.0019,2.0028021,0.5002491
1941-10-16 00:00:00,7,0.1467164,1.000343,2.0048022,0.4989734
1941-10-16 00:00:00,8,0.8114085,0.99926597,2.0040452,0.49862444
1941-10-16 00:00:00,9,0.29741782,0.9998194,2.0070996,0.49814138
1941-11-15 12:00:00,0,0.49702278,0.9988825,2.0026531,0.49877957
1941-11-15 12:00:00,1,1.2399673,1.0002959,2.0100656,0.4976434
1941-11-15 12:00:00,2,0.4493274,1.0012199,2.0090835,0.49834657
1941-11-15 12:00:00,3,0.20480272,0.99927187,2.0032845,0.49881676
1941-11-15 12:00:00,4,0.2972316,1.0013298,2.0061743,0.49912402
1941-11-15 12:00:00,5,0.14094648,1.0010061,2.003814,0.49955043
1941-11-15 12:00:00,6,0.82640654,1.0016907,2.0008552,0.5006313
1941-11-15 12:00:00,7,0.087176844,1.0006145,2.005395,0.49896133
1941-11-15 12:00:00,8,0.7428543,0.99975073,2.003642,0.49896672
1941-11-15 12:00:00,9,3.150407,0.9997776,2.0052063,0.4985909
1941-12-16 00:00:00,0,0.51363325,0.9978913,1.9990851,0.499174
1941-12-16 00:00:00,1,0.14554185,1.0000558,2.0123053,0.4969702
1941-12-16 00:00:00,2,1.3138206,1.0021105,2.009285,0.49873984
1941-12-16 00:00:00,3,0.8210086,0.9981381,2.0048895,0.49785194
1941-12-16 00:00:00,4,0.16454701,1.0017185,2.0048869,0.49963844
1941-12-16 00:00:00,5,1.4988805,0.9996357,2.0005364,0.49968383
1941-12-16 00:00:00,6,0.477933,1.0011111,1.9957412,0.50162375
1941-12-16 00:00:00,7,0.060715955,1.0012692,2.0070322,0.4988805
1941-12-16 00:00:00,8,0.28946105,1.0010204,2.002164,0.49996927
1941-12-16 00:00:00,9,0.22052221,0.99942404,2.0001502,0.4996745
1942-01-16 00:00:00,0,0.86102676,0.9982962,2.0011418,0.4988633
1942-01-16 00:00:00,1,0.87019825,1.0001196,2.0111518,0.49728698
1942-01-16 00:00:00,2,0.22787002,1.0016042,2.009274,0.4984906
1942-01-16 00:00:00,3,0.32558048,0.99872845,2.0043352,0.49828416
1942-01-16 00:00:00,4,0.6982671,1.0015833,2.0055668,0.49940163
1942-01-16 00:00:00,5,2.1232767,1.0005763,2.0020711,0.49977058
1942-01-16 00:00:00,6,1.2798692,1.0013843,1.9981822,0.5011476
1942-01-16 00:00:00,7,0.90597796,1.0009604,2.0066178,0.4988296
1942-01-16 00:00:00,8,0.12165499,1.0005375,2.002657,0.49960506
1942-01-16 00:00:00,9,1.7168916,0.99944735,2.0025008,0.4990996
1942-02-14 12:00:00,0,1.534544,0.9984754,2.0019312,0.49875608
1942-02-14 12:00:00,1,0.4661821,1.0001549,2.01069,0.49741873
1942-02-14 12:00:00,2,0.026838563,1.001409,2.0092547,0.49839827
1942-02-14 12:00:00,3,0.1841394,0.9989641,2.0040693,0.49846783
1942-02-14 12:00:00,4,0.5466988,1.0015187,2.0058367,0.4993022
1942-02-14 12:00:00,5,0.13497393,1.0009155,2.002711,0.4997803
1942-02-14 12:00:00,6,0.47308168,1.001498,1.9991919,0.5009514
1942-02-14 12:00:00,7,0.052450314,1.000832,2.0063832,0.49882394
1942-02-14 12:00:00,8,0.6535284,1.0003167,2.0028977,0.49943474
1942-02-14 12:00:00,9,0.18286389,0.9994823,2.0034838,0.49887216
1942-03-16 00:00:00,0,0.8644273,0.9988853,2.0019586,0.498954
1942-03-16 00:00:00,1,1.0108929,1.000337,2.0103407,0.49759576
1942-03-16 00:00:00,2,0.6099764,1.0013849,2.0090005,0.49844927
1942-03-16 00:00:00,3,0.37871015,0.9991254,2.003162,0.49877417
1942-03-16 00:00:00,4,0.10076486,1.0013013,2.0059977,0.49915376
1942-03-16 00:00:00,5,0.34489137,1.0005621,2.003593,0.4993839
1942-03-16 00:00:00,6,1.6678182,1.0016496,2.0004556,0.5007107
1942-03-16 00:00:00,7,0.22144783,1.0006615,2.005092,0.49906015
1942-03-16 00:00:00,8,0.06585724,0.9997054,2.003777,0.4989105
1942-03-16 00:00:00,9,0.4231988,0.9999213,2.004885,0.4987425
1942-04-15 12:00:00,0,1.005716,0.99858224,2.0024948,0.4986691
1942-04-15 12:00:00,1,0.053755846,1.0001705,2.0103772,0.4975039
1942-04-15 12:00:00,2,0.5107211,1.0012705,2.009254,0.4983295
1942-04-15 12:00:00,3,0.6401276,0.9991243,2.0039268,0.49858323
