time,latent_dim,latent
1987-07-16 00:00:00,2,0.03534943
1987-07-16 00:00:00,3,-0.21136972
1987-07-16 00:00:00,4,0.14446492
1987-07-16 00:00:00,5,0.46955723
1987-07-16 00:00:00,6,-0.078666426
1987-08-16 00:00:00,0,-0.12954395
1987-08-16 00:00:00,1,0.34887177
1987-08-16 00:00:00,2,0.045502037
1987-08-16 00:00:00,3,-0.16140476
1987-08-16 00:00:00,4,0.118481606
1987-08-16 00:00:00,5,0.40571213
1987-08-16 00:00:00,6,-0.06269767
1987-09-15 12:00:00,0,-0.12888472
1987-09-15 12:00:00,1,0.34557086
1987-09-15 12:00:00,2,0.040173456
1987-09-15 12:00:00,3,-0.1549659
1987-09-15 12:00:00,4,0.110440776
1987-09-15 12:00:00,5,0.41321212
1987-09-15 12:00:00,6,-0.068420134
1987-10-16 00:00:00,0,0.05357083
1987-10-16 00:00:00,1,0.33237898
1987-10-16 00:00:00,2,-0.0848919
1987-10-16 00:00:00,3,-0.2570669
1987-10-16 00:00:00,4,0.12021956
1987-10-16 00:00:00,5,0.6249009
1987-10-16 00:00:00,6,0.21381196
1987-11-15 12:00:00,0,-0.014737345
1987-11-15 12:00:00,1,0.3133906
1987-11-15 12:00:00,2,0.0981807
1987-11-15 12:00:00,3,-0.3088597
1987-11-15 12:00:00,4,0.16937001
1987-11-15 12:00:00,5,0.38966334
1987-11-15 12:00:00,6,-0.020159133
1987-12-16 00:00:00,0,0.033230625
1987-12-16 00:00:00,1,0.09204719
1987-12-16 00:00:00,2,0.07354562
1987-12-16 00:00:00,3,-0.5400089
1987-12-16 00:00:00,4,0.3907612
1987-12-16 00:00:00,5,0.30474657
1987-12-16 00:00:00,6,-0.10223285
1988-01-16 00:00:00,0,0.19113412
1988-01-16 00:00:00,1,0.13223019
1988-01-16 00:00:00,2,0.100789055
1988-01-16 00:00:00,3,-0.42257702
1988-01-16 00:00:00,4,0.1758412
1988-01-16 00:00:00,5,0.3961045
1988-01-16 00:00:00,6,-0.044541776
1988-02-15 00:00:00,0,-0.030810278
1988-02-15 00:00:00,1,0.32550523
1988-02-15 00:00:00,2,-0.0014964044
1988-02-15 00:00:00,3,-0.17919809
1988-02-15 00:00:00,4,0.10580252
1988-02-15 00:00:00,5,0.4854393
1988-02-15 00:00:00,6,0.055615313
1988-03-16 00:00:00,0,-0.0941858
1988-03-16 00:00:00,1,0.4115761
1988-03-16 00:00:00,2,0.05246985
1988-03-16 00:00:00,3,-0.21823958
1988-03-16 00:00:00,4,0.111254096
1988-03-16 00:00:00,5,0.45364577
1988-03-16 00:00:00,6,-0.0058823824
1988-04-15 12:00:00,0,0.11055181
1988-04-15 12:00:00,1,0.3889065
1988-04-15 12:00:00,2,0.010219097
1988-04-15 12:00:00,3,-0.41500413
1988-04-15 12:00:00,4,0.14944768
1988-04-15 12:00:00,5,0.6227821
1988-04-15 12:00:00,6,0.16265416
1988-05-16 00:00:00,0,-0.16208926
1988-05-16 00:00:00,1,0.36042687
1988-05-16 00:00:00,2,-0.035308033
1988-05-16 00:00:00,3,-0.32153255
1988-05-16 00:00:00,4,0.21628577
1988-05-16 00:00:00,5,0.55939287
1988-05-16 00:00:00,6,-0.031193677
1988-06-15 12:00:00,0,-0.17955483
1988-06-15 12:00:00,1,0.33776563
1988-06-15 12:00:00,2,-0.07788302
1988-06-15 12:00:00,3,-0.28131148
1988-06-15 12:00:00,4,0.17434268
1988-06-15 12:00:00,5,0.6484552
1988-06-15 12:00:00,6,-0.07483914
1988-07-16 00:00:00,0,-0.16821674
1988-07-16 00:00:00,1,0.33554953
1988-07-16 00:00:00,2,-0.0053353906
1988-07-16 00:00:00,3,-0.19896257
1988-07-16 00:00:00,4,0.1368671
1988-07-16 00:00:00,5,0.49822426
1988-07-16 00:00:00,6,-0.10043349
1988-08-16 00:00:00,0,-0.115600124
1988-08-16 00:00:00,1,0.3207233
1988-08-16 00:00:00,2,0.030871138
1988-08-16 00:00:00,3,-0.14495043
1988-08-16 00:00:00,4,0.060378432
1988-08-16 00:00:00,5,0.47410488
1988-08-16 00:00:00,6,-0.15325622
1988-09-15 12:00:00,0,-0.13141274
1988-09-15 12:00:00,1,0.3720632
1988-09-15 12:00:00,2,0.04934971
1988-09-15 12:00:00,3,-0.19254687
1988-09-15 12:00:00,4,0.11936803
1988-09-15 12:00:00,5,0.46944433
1988-09-15 12:00:00,6,-0.0652457
1988-10-16 00:00:00,0,-0.14023869
1988-10-16 00:00:00,1,0.32559857
1988-10-16 00:00:00,2,0.043079168
1988-10-16 00:00:00,3,-0.17067373
1988-10-16 00:00:00,4,0.14196736
1988-10-16 00:00:00,5,0.40510768
1988-10-16 00:00:00,6,-0.076359965
1988-11-15 12:00:00,0,0.17316183
1988-11-15 12:00:00,1,0.5428208
1988-11-15 12:00:00,2,0.400203
1988-11-15 12:00:00,3,-0.57535523
1988-11-15 12:00:00,4,0.16890034
1988-11-15 12:00:00,5,0.25976235
1988-11-15 12:00:00,6,-0.007950455
1988-12-16 00:00:00,0,0.25086522
1988-12-16 00:00:00,1,0.34401992
1988-12-16 00:00:00,2,0.07106237
1988-12-16 00:00:00,3,-0.36570838
1988-12-16 00:00:00,4,0.054610834
1988-12-16 00:00:00,5,0.47715086
1988-12-16 00:00:00,6,0.1716286
1989-01-16 00:00:00,0,0.010870725
1989-01-16 00:00:00,1,0.39051846
1989-01-16 00:00:00,2,0.1958711
1989-01-16 00:00:00,3,-0.24124542
1989-01-16 00:00:00,4,0.11636156
1989-01-16 00:00:00,5,0.29499274
1989-01-16 00:00:00,6,-0.0140735395
1989-02-14 12:00:00,0,0.119290955
1989-02-14 12:00:00,1,0.5096571
1989-02-14 12:00:00,2,0.13830177
1989-02-14 12:00:00,3,-0.29979616
1989-02-14 12:00:00,4,0.054466814
1989-02-14 12:00:00,5,0.45477444
1989-02-14 12:00:00,6,0.15054366
1989-03-16 00:00:00,0,0.21748775
1989-03-16 00:00:00,1,0.39034402
1989-03-16 00:00:00,2,0.45271403
1989-03-16 00:00:00,3,-0.68418866
1989-03-16 00:00:00,4,0.26165903
1989-03-16 00:00:00,5,0.05937709
1989-03-16 00:00:00,6,-0.1186091
1989-04-15 12:00:00,0,-0.19763094
1989-04-15 12:00:00,1,0.3670345
1989-04-15 12:00:00,2,-0.064803354
1989-04-15 12:00:00,3,-0.40842867
1989-04-15 12:00:00,4,0.31325287
1989-04-15 12:00:00,5,0.5651753
1989-04-15 12:00:00,6,0.023287334
1989-05-16 00:00:00,0,-0.2281841
1989-05-16 00:00:00,1,0.36024097
1989-05-16 00:00:00,2,-0.10328342
1989-05-16 00:00:00,3,-0.37638873
1989-05-16 00:00:00,4,0.22107409
1989-05-16 00:00:00,5,0.79993856
1989-05-16 00:00:00,6,-0.12622836
1989-06-15 12:00:00,0,-0.16120946
1989-06-15 12:00:00,1,0.33595526
1989-06-15 12:00:00,2,0.021518677
1989-06-15 12:00:00,3,-0.23252404
1989-06-15 12:00:00,4,0.12643172
1989-06-15 12:00:00,5,0.5433808
1989-06-15 12:00:00,6,-0.17466551
1989-07-16 00:00:00,0,-0.14054826
1989-07-16 00:00:00,1,0.34303716
1989-07-16 00:00:00,2,0.04378712
1989-07-16 00:00:00,3,-0.16120836
1989-07-16 00:00:00,4,0.119669035
1989-07-16 00:00:00,5,0.41962057
1989-07-16 00:00:00,6,-0.075493045
1989-08-16 00:00:00,0,-0.19066915
1989-08-16 00:00:00,1,0.30712667
1989-08-16 00:00:00,2,-0.03782723
1989-08-16 00:00:00,3,-0.23990384
1989-08-16 00:00:00,4,0.16238329
1989-08-16 00:00:00,5,0.59054524
1989-08-16 00:00:00,6,-0.12845582
1989-09-15 12:00:00,0,0.008405663
1989-09-15 12:00:00,1,0.326149
1989-09-15 12:00:00,2,0.02976057
1989-09-15 12:00:00,3,-0.31675392
1989-09-15 12:00:00,4,0.13834465
1989-09-15 12:00:00,5,0.5580211
1989-09-15 12:00:00,6,0.022739202
1989-10-16 00:00:00,0,-0.028358795
1989-10-16 00:00:00,1,0.41118827
1989-10-16 00:00:00,2,0.1878909
1989-10-16 00:00:00,3,-0.43591172
1989-10-16 00:00:00,4,0.23327188
1989-10-16 00:00:00,5,0.35533482
1989-10-16 00:00:00,6,-0.029776756
1989-11-15 12:00:00,0,0.008674972
1989-11-15 12:00:00,1,0.4122711
1989-11-15 12:00:00,2,0.15846445
1989-11-15 12:00:00,3,-0.25527522
1989-11-15 12:00:00,4,0.0911293
1989-11-15 12:00:00,5,0.3999151
1989-11-15 12:00:00,6,-0.02786896
1989-12-16 00:00:00,0,-0.13146354
1989-12-16 00:00:00,1,0.3447517
1989-12-16 00:00:00,2,0.047331586
1989-12-16 00:00:00,3,-0.15768093
1989-12-16 00:00:00,4,0.122896105
1989-12-16 00:00:00,5,0.4003842
1989-12-16 00:00:00,6,-0.05958954
1990-01-16 00:00:00,0,0.13445148
1990-01-16 00:00:00,1,0.31909153
1990-01-16 00:00:00,2,0.14255993
1990-01-16 00:00:00,3,-0.40644282
1990-01-16 00:00:00,4,0.15388468
1990-01-16 00:00:00,5,0.3341927
1990-01-16 00:00:00,6,0.06382506
1990-02-14 12:00:00,0,0.2054188
1990-02-14 12:00:00,1,0.4472899
1990-02-14 12:00:00,2,0.15550055
1990-02-14 12:00:00,3,-0.34788883
1990-02-14 12:00:00,4,0.029464867
1990-02-14 12:00:00,5,0.46743977
1990-02-14 12:00:00,6,0.121948324
1990-03-16 00:00:00,0,-0.011863872
1990-03-16 00:00:00,1,0.48514998
1990-03-16 00:00:00,2,0.05536534
1990-03-16 00:00:00,3,-0.3874771
1990-03-16 00:00:00,4,0.1944681
1990-03-16 00:00:00,5,0.5045802
1990-03-16 00:00:00,6,0.14412731
1990-04-15 12:00:00,0,-0.19684875
1990-04-15 12:00:00,1,0.43982098
1990-04-15 12:00:00,2,-0.10706306
1990-04-15 12:00:00,3,-0.47861433
1990-04-15 12:00:00,4,0.27771693
1990-04-15 12:00:00,5,0.82410485
1990-04-15 12:00:00,6,0.012798943
1990-05-16 00:00:00,0,0.035296947
1990-05-16 00:00:00,1,0.3936956
1990-05-16 00:00:00,2,0.15957652
1990-05-16 00:00:00,3,-0.43775296
1990-05-16 00:00:00,4,0.20011483
1990-05-16 00:00:00,5,0.4346062
1990-05-16 00:00:00,6,0.027779885
1990-06-15 12:00:00,0,-0.113059714
1990-06-15 12:00:00,1,0.35837582
1990-06-15 12:00:00,2,0.056993067
1990-06-15 12:00:00,3,-0.1611613
1990-06-15 12:00:00,4,0.10958977
1990-06-15 12:00:00,5,0.39851326
1990-06-15 12:00:00,6,-0.055336013
1990-07-16 00:00:00,0,-0.10762906
1990-07-16 00:00:00,1,0.3285075
1990-07-16 00:00:00,2,0.056931227
1990-07-16 00:00:00,3,-0.13814777
1990-07-16 00:00:00,4,0.054464005
1990-07-16 00:00:00,5,0.45610482
1990-07-16 00:00:00,6,-0.1646176
1990-08-16 00:00:00,0,-0.17844719
1990-08-16 00:00:00,1,0.32656685
1990-08-16 00:00:00,2,-0.008606657
1990-08-16 00:00:00,3,-0.20960599
1990-08-16 00:00:00,4,0.14316046
1990-08-16 00:00:00,5,0.5261217
1990-08-16 00:00:00,6,-0.12180503
1990-09-15 12:00:00,0,-0.09868546
1990-09-15 12:00:00,1,0.34943378
1990-09-15 12:00:00,2,-0.00362961
1990-09-15 12:00:00,3,-0.18592714
1990-09-15 12:00:00,4,0.09238623
1990-09-15 12:00:00,5,0.53488714
1990-09-15 12:00:00,6,-0.045060724
1990-10-16 00:00:00,0,-0.111441076
